feature,importance
obfuscation_score,0.07267934882395265
maintainer_age_days,0.05387258076710592
has_install_script,0.013462368268952663
base64_blob_count,0.011164171665979916
new_comaintainer_30d,0.005260459083642521
install_entropy,0.004682825261133316
touches_agent_config,0.004192682411848114
dependency_count,0.002636497828250839
publish_burst_7d,0.0017753710776966525
repo_linked,0.0014219407242662906
touches_credential_paths,0.0013118117914978633
version_jump_anomaly,0.0012622349410309596
net_calls_in_install,-0.00041603064858879434
maintainer_pkg_count,-0.0010823691305096195
name_dist_top1k,-0.0013739878777906168
readme_length,-0.002040985666278139
log_weekly_downloads,-0.0022182049002752334
